// Comment 1
// Comment 2
// Comment 3

Time in (ms);Datapoint 1;Datapoint 2;Datapoint 3
2;0,02;0,2;2
12;0,12;1,2;12
22;0,22;2,2;22
32;0,32;3,2;32
42;0,42;4,2;42
52;0,52;5,2;52
62;0,62;6,2;62
72;0,72;7,2;72
82;0,82;8,2;82
92;0,92;9,2;92
102;1,02;10,2;102
112;1,12;11,2;112
122;1,22;12,2;122
132;1,32;13,2;132
142;1,42;14,2;142
152;1,52;15,2;152
162;1,62;16,2;162
172;1,72;17,2;172
182;1,82;18,2;182
192;1,92;19,2;192
202;2,02;20,2;202
212;2,12;21,2;212
222;2,22;22,2;222
232;2,32;23,2;232
242;2,42;24,2;242
252;2,52;25,2;252
262;2,62;26,2;262
272;2,72;27,2;272
282;2,82;28,2;282
292;2,92;29,2;292
302;3,02;30,2;302
312;3,12;31,2;312
322;3,22;32,2;322
332;3,32;33,2;332
342;3,42;34,2;342
352;3,52;35,2;352
362;3,62;36,2;362
372;3,72;37,2;372
382;3,82;38,2;382
392;3,92;39,2;392
402;4,02;40,2;402
412;4,12;41,2;412
422;4,22;42,2;422
432;4,32;43,2;432
442;4,42;44,2;442
452;4,52;45,2;452
462;4,62;46,2;462
472;4,72;47,2;472
482;4,82;48,2;482
492;4,92;49,2;492
502;5,02;50,2;502
512;5,12;51,2;512
522;5,22;52,2;522
532;5,32;53,2;532
542;5,42;54,2;542
552;5,52;55,2;552
562;5,62;56,2;562
572;5,72;57,2;572
582;5,82;58,2;582
592;5,92;59,2;592
602;6,02;60,2;602
612;6,12;61,2;612
622;6,22;62,2;622
632;6,32;63,2;632
642;6,42;64,2;642
652;6,52;65,2;652
662;6,62;66,2;662
672;6,72;67,2;672
682;6,82;68,2;682
692;6,92;69,2;692
702;7,02;70,2;702
712;7,12;71,2;712
722;7,22;72,2;722
732;7,32;73,2;732
742;7,42;74,2;742
752;7,52;75,2;752
762;7,62;76,2;762
772;7,72;77,2;772
782;7,82;78,2;782
792;7,92;79,2;792
802;8,02;80,2;802
812;8,12;81,2;812
822;8,22;82,2;822
832;8,32;83,2;832
842;8,42;84,2;842
852;8,52;85,2;852
862;8,62;86,2;862
872;8,72;87,2;872
882;8,82;88,2;882
892;8,92;89,2;892
902;9,02;90,2;902
912;9,12;91,2;912
922;9,22;92,2;922
932;9,32;93,2;932
942;9,42;94,2;942
952;9,52;95,2;952
962;9,62;96,2;962
972;9,72;97,2;972
982;9,82;98,2;982
992;9,92;99,2;992
1002;10,02;100,2;1002
1012;10,12;101,2;1012
1022;10,22;102,2;1022
1032;10,32;103,2;1032
1042;10,42;104,2;1042
1052;10,52;105,2;1052
1062;10,62;106,2;1062
1072;10,72;107,2;1072
1082;10,82;108,2;1082
1092;10,92;109,2;1092
1102;11,02;110,2;1102
1112;11,12;111,2;1112
1122;11,22;112,2;1122
1132;11,32;113,2;1132
1142;11,42;114,2;1142
1152;11,52;115,2;1152
1162;11,62;116,2;1162
1172;11,72;117,2;1172
1182;11,82;118,2;1182
1192;11,92;119,2;1192
1202;12,02;120,2;1202
1212;12,12;121,2;1212
1222;12,22;122,2;1222
1232;12,32;123,2;1232
1242;12,42;124,2;1242
1252;12,52;125,2;1252
1262;12,62;126,2;1262
1272;12,72;127,2;1272
1282;12,82;128,2;1282
1292;12,92;129,2;1292
1302;13,02;130,2;1302
1312;13,12;131,2;1312
1322;13,22;132,2;1322
1332;13,32;133,2;1332
1342;13,42;134,2;1342
1352;13,52;135,2;1352
1362;13,62;136,2;1362
1372;13,72;137,2;1372
1382;13,82;138,2;1382
1392;13,92;139,2;1392
1402;14,02;140,2;1402
1412;14,12;141,2;1412
1422;14,22;142,2;1422
1432;14,32;143,2;1432
1442;14,42;144,2;1442
1452;14,52;145,2;1452
1462;14,62;146,2;1462
1472;14,72;147,2;1472
1482;14,82;148,2;1482
1492;14,92;149,2;1492
1502;15,02;150,2;1502
1512;15,12;151,2;1512
1522;15,22;152,2;1522
1532;15,32;153,2;1532
1542;15,42;154,2;1542
1552;15,52;155,2;1552
1562;15,62;156,2;1562
1572;15,72;157,2;1572
1582;15,82;158,2;1582
1592;15,92;159,2;1592
1602;16,02;160,2;1602
